온도(K),절대등급(Mv),별 종류,스펙트럼형
3008,-6,거성,M
3200,-7.22,거성,M
3270,-6.02,거성,M
3365,-6.2,거성,M
3399,-10.92,거성,M
3450,-11.75,거성,M
3450,-11.28,거성,M
3459,-10.7,거성,M
3490,-9.4,거성,M
3500,-8.18,거성,M
3535,-11.36,거성,M
3553,-11.03,거성,M
3570,-7.58,거성,M
3574,-5.24,거성,M
3575,-6.78,거성,M
3600,-6.6,거성,M
3600,-7.89,거성,M
3605,-10.81,거성,M
3610,-10.86,거성,M
3614,-7.71,거성,M
3615,-11.33,거성,M
3625,-6.74,거성,M
3625,-10.25,거성,M
3650,-7.79,거성,M
3660,-11.92,거성,M
3749,-8.05,거성,M
3750,-7.63,거성,M
3752,-11.24,거성,M
3780,-10.7,거성,M
3826,-6.93,거성,M
3834,-9.2,거성,M
4015,-11.39,거성,K
4077,6.228,주계열성,K
4287,-9.2,거성,K
4526,6.506,주계열성,K
4980,4.78,주계열성,K
5112,4.68,주계열성,K
5300,5.49,주계열성,F
5587,5.03,주계열성,F
5752,-6.63,거성,O
5800,5.05,주계열성,F
5936,4.46,주계열성,F
6380,2.93,주계열성,F
6757,2.41,주계열성,F
6850,-10.07,거성,G
7100,14.09,백색왜성,F
7220,14.23,백색왜성,F
7230,14.08,백색왜성,F
7282,-7.22,거성,O
7700,14.47,백색왜성,F
7720,2.44,주계열성,F
7723,14.81,백색왜성,A
7740,14.02,백색왜성,A
8052,2.42,주계열성,A
8250,-0.98,주계열성,F
8500,14.5,백색왜성,A
8570,14.2,백색왜성,A
8829,-10.73,거성,A
8924,14.87,백색왜성,A
8927,-7.34,거성,O
8930,13.78,백색왜성,A
8945,0.12,주계열성,A
9030,1.45,주계열성,A
9235,-11.23,거성,A
9320,1.236,주계열성,A
9373,-5.99,거성,O
9383,-6.98,거성,O
9675,13.98,백색왜성,A
9700,0.16,주계열성,B
9892,-7.262,거성,O
10012,0.013,주계열성,A
10574,12.02,백색왜성,F
10930,-6.224,거성,O
10980,11.19,백색왜성,B
11000,-9.9,거성,B
11096,-5.91,거성,O
11250,-2.3,주계열성,A
11567,-6.245,거성,O
11790,12.59,백색왜성,F
11900,11.38,백색왜성,B
12010,12.13,백색왜성,B
12098,0.02,주계열성,A
12100,-7.84,거성,B
12675,-5.62,거성,O
12749,-7.02,거성,O
12893,-6.34,거성,O
12912,12.83,백색왜성,B
12984,11.23,백색왜성,B
12990,12.23,백색왜성,F
13023,-1.38,주계열성,A
13089,-0.12,주계열성,A
13340,12.9,백색왜성,B
13420,13.67,백색왜성,B
13720,12.97,백색왜성,F
14060,-2.04,주계열성,A
14100,12.17,백색왜성,B
14245,-6.12,거성,O
14520,11.92,백색왜성,B
14732,12.89,백색왜성,F
14982,12.23,백색왜성,B
15276,-1.97,주계열성,B
15680,11.92,백색왜성,B
16390,-3.32,주계열성,B
16500,11.89,백색왜성,B
16787,-6.35,거성,O
16790,12.87,백색왜성,B
17120,-6.89,거성,O
17140,-2.64,주계열성,B
17200,12.45,백색왜성,B
17383,-6.09,거성,O
17920,11.66,백색왜성,B
18000,-8.3,거성,O
18290,12.78,백색왜성,B
18340,11.22,백색왜성,B
18734,-7.45,거성,O
19360,11.62,백색왜성,B
19400,-3.08,주계열성,B
19860,11.34,백색왜성,B
19920,11.34,백색왜성,B
19923,-5.69,거성,O
20120,-3.4,주계열성,B
21020,11.52,백색왜성,B
21738,-7.346,거성,O
21904,-7.67,거성,B
22012,-2.55,주계열성,B
22350,-3.67,주계열성,B
23000,-5.76,거성,O
23092,10.18,백색왜성,B
23095,-5.905,거성,O
23440,-5.975,거성,O
23678,-6.27,거성,O
24020,10.55,백색왜성,B
24145,-8.84,거성,B
24345,-6.24,거성,O
24490,-8.24,거성,B
24630,-5.83,거성,O
25000,10.58,백색왜성,B
25070,-3.98,주계열성,B
25390,-5.92,거성,O
26000,-9.1,거성,B
26140,-3.8,주계열성,B
26373,-5.83,거성,O
27739,-7.59,거성,B
28700,-4.09,주계열성,B
29560,-4.01,주계열성,B
30000,-4.2,주계열성,B
30839,-10.63,거성,O
32460,-4.36,주계열성,O
32489,-10.84,거성,O
33300,-6.5,거성,B
33421,-5.79,거성,O
33750,-6.1,거성,B
34190,-4.57,주계열성,O
36108,-4.4,주계열성,O
37800,-4.56,주계열성,O
37882,-7.8,거성,O
38234,-9.29,거성,O
38940,-9.93,거성,O
39000,-4.7,주계열성,O
40000,-6.23,거성,O
